place_name,address,lat,lon,tags,description,category_clean,governorateId
Desert Rose,"1700 N. Hillhurst Ave. Los Angeles, CA 90027",25.7172119,32.6013218,"cafe, restaurant","See photos and read reviews for the Desert Rose coffee shop in Hurghada, Egypt. Everything you need to know about the Desert Rose coffee shop at",food_drink,27
El Zaeem,"Block 29, 2nd Neighbourhood, 1st District, Badr city, Cairo Inside El Zaeem Mall, 1st Floor",25.694829,32.6399547,"budget_friendly, local_favorite","El Zaeem For Real Estate Investment & Contracting is a real estate firm located in Badr City, Cairo, operating from inside El Zaeem Mall on the first floor. The company offers real estate investment, contracting, and development services, and can be contacted via phone for directions and additional information.",other,9
بندق,"New Cairo 1, Cairo Governorate 4720111, Egypt",25.6936295,32.6394602,"cafe, local_favorite, restaurant","Consider the needs of your employees. Lease a location that offers amenities like nearby restaurants, recreational spaces, and transportation options. Assess the quality of infrastructure and technology available in the area. Ensure the location provides reliable internet connectivity, advanced telecommunication services, and other technological infrastructure required for your business operations.",food_drink,9
Kam Thai,"El-Madina El-Monawarra, Gazirat Al Awameyah, Luxor, Luxor Governorate 1362211, Egypt",25.6866674,32.6350118,"cozy, restaurant","Experience the true taste of Thailand with dishes prepared by a Thai cook, featuring homemade chili paste and perfectly balanced flavors. The homemade chili paste and shrimp coconut rice are frequently highlighted as must‑try items, with many visitors returning for a second meal. Yes, Kam Thai does offer delivery services. Diners consistently praise the friendly and humorous service, the cozy ambiance, and the excellent value for money.",food_drink,3
Nour el balad,"Luxor, Egypt",25.7172423,32.5957457,"budget_friendly, restaurant","Nour El Balad Hotel Luxor is located about a 25-minute walk from the ancient Egyptian necropolis ""Valley of the Queens"". Boasting a location only a few steps from the Temple of Medinet Habu, the hotel features 21 rooms as well as a restaurant and a storage for belongings. You'll need 33-minute drive to Luxor International airport.",other,3
Pizza Roma.it,"St، Joseph street، Elawamya, Luxor, Egypt",25.6884689,32.6346382,"cozy, restaurant","If you're looking for a place to enjoy an authentic pizza experience in Luxor, Pizza Roma is the spot to visit. Nestled on St. Joseph Street in Elawamya, this pizzeria offers a cozy atmosphere that makes it a great choice for casual dining. Whether you're a local or a tourist exploring the historic city, the restaurant's menu is sure to satisfy your cravings with its variety of freshly baked pizzas.",food_drink,3
Quick pizza,,25.6925802,32.6401146,"fast_food, restaurant","We are excited to announce our partnership with Pizza Inn for the Arab Republic of Egypt and have full confidence that together we will further establish the brand as a household name across Egypt, said Magdy Al Khazrjy. The outlet offers Pizza Inn's signature menu of pizzas, pasta dishes, wings and famous Pizzerts®, aiming to open two additional locations each year for the next three years across Egyptian cities.",food_drink,9
Desert Rose,"Hurghada, Egypt",25.7172119,32.6013218,"cafe, cozy, local_favorite","Desert Rose is a coffee shop located in Hurghada, Egypt, offering a cozy setting for coffee lovers. Reviews highlight its inviting atmosphere and convenient location in the Red Sea governorate. The venue provides a comfortable spot for relaxation and light meals.",food_drink,27
El Zaeem,"Block 29, 2nd Neighbourhood, 1St District, Badr city, Cairo Inside El Zaeem Mall, 1St Floor",25.694829,32.6399547,"hidden_gem, local_favorite, luxury","El Zaeem For Real Estate Investment & Contracting is a real estate investment and contracting company located in Badr City, Cairo, operating from the first floor of El Zaeem Mall. The firm specializes in real estate services for clients in Egypt. It appears to provide property development and management solutions within the Mall's business district.",other,9
بندق,"New Cairo 1, Cairo Governorate 4720111, Egypt",25.6936295,32.6394602,"fine_dining, luxury, restaurant","We are located in New Cairo 1, Cairo Governorate 4720111, Egypt We are thrilled to announce the successful launch and grand opening of the first CZN Burak Restaurant in Egypt, on 17 November 2024, a collaboration between Dives Holding, the esteemed hospitality group behind the CZN Burak brands, and ElWakil F&B, the main representative for CZN Burak Restaurant in Egypt. We invite everyone to join us in celebrating this exciting addition to Egypt’s vibrant culinary scene, where guests can experience the delightful flavors and unique dining experience that CZN Burak is known for.",food_drink,9
