place_name,address,lat,lon,tags,description,category_clean,governorateId
Central Café - البحر الأحمر,"المرجان, Hurghada, Red Sea Governorate, Egypt",33.8307013,27.1902469000368,"cozy, family_friendly, outdoor_seating, popular","Central Café is a cozy spot located in the heart of the Red Sea city, offering a variety of freshly brewed coffee, light meals, and pastries. With a relaxed atmosphere and indoor and outdoor seating options, it is a popular gathering place for locals and tourists looking to unwind. The café emphasizes quality service and often features a menu with vegetarian and vegan-friendly options, making it an inclusive and welcoming space.",food_drink,27
Mastaba - Hurghada,"Al-Gouna, Red Sea Governorate, Egypt",33.8308196,27.19005710003682,"restaurant, cozy, family_friendly","Mastaba is a popular dining spot located in the Red Sea governorate of Egypt, offering a diverse menu of Egyptian and international cuisine in a relaxed, contemporary setting. Known for its flavorful grilled dishes and fresh seafood, the venue provides both indoor and outdoor seating options, making it a favored destination for families and tourists exploring the area.",food_drink,27
Botanica - همالبحر,شارع الرئيسي، البحر الأحمر، مصر,33.8301357,27.189633100036872,"cozy, cafe, family_friendly, outdoor_seating, popular","Botanica is a charming café located in the heart of the Red Sea city, offering a variety of freshly brewed coffees, teas, and light bites. The venue features a cozy indoor space with comfortable seating and a small outdoor patio that overlooks the bustling streets, making it an ideal spot for relaxation and social gatherings. Customers appreciate its friendly service and the selection of pastries and desserts that accompany the drinks.",food_drink,27
Zaza - البحر الأحمر,"Unnamed Road, Al‑Bahariya, Red Sea Governorate, Egypt",33.8301602,27.190147000036813,"cafe, cozy, outdoor_seating, family_friendly","Zaza is a popular café located in the Red Sea governorate, known for its cozy ambiance and a variety of freshly brewed coffees, teas, and light snacks. The café often serves as a relaxing spot for locals and tourists, offering outdoor seating with views of the surrounding scenery. It is particularly noted for its friendly service and Instagram‑worthy decor.",food_drink,27
Sushi House - Hurghada,"Al Ba tip, Hurghada, Red Sea Governorate, Egypt",33.8253611,27.191477600036663,"restaurant, family_friendly, outdoor_seating","Sushi House is a popular Japanese restaurant located in the Red Sea Governorate of Egypt, offering a wide selection of fresh sushi, sashimi, and other Asian-inspired dishes. The restaurant features a modern, relaxed ambiance with indoor and outdoor seating, making it a favorite spot for families and tourists seeking authentic Japanese flavors in a casual setting.",food_drink,27
Caviar - Hurghada,"Al_Masry Al_Ayyun St, Hurghada, Red Sea Governorate, Egypt",33.8414282,27.22827140003257,"fine_dining, upscale, seafood","Caviar is a fine‑dining restaurant located in the Red Sea city of Hurghada, offering an upscale atmosphere with a menu focused on seafood and Mediterranean cuisine. Guests praise its elegant setting, attentive service, and a selection of premium caviar and gourmet dishes that make it a popular spot for special occasions. The venue combines luxurious touches with a relaxed seaside vibe, attracting both locals and tourists seeking a refined dining experience.",food_drink,27
Meat & Wood - Hurghada,,33.84110449999999,27.226298500032783,"restaurant, family_friendly, outdoor_seating","Meat & Wood is a casual dining spot located in Hurghada, offering a selection of grilled meats and Mediterranean-inspired dishes in a relaxed setting. The menu emphasizes fresh, high‑quality ingredients, with specialties such as kebabs, kebab plates, and wood‑fire grilled specialties that appeal to both locals and tourists seeking a hearty meal by the Red Sea.",food_drink,27
Mi Casa - Hurghada,"El Naama Bay, Hurghada, Red Sea Governorate, Egypt",33.8411218,27.226377000032784,"Mediterranean, Seafood, Family-friendly, Outdoor seating, Casual dining","Mi Casa is a vibrant dining spot in Hurghada known for its fusion of Mediterranean and Middle Eastern flavors, offering a menu of grilled meats, fresh salads, and specialty seafood dishes. The restaurant features a relaxed, contemporary ambiance with outdoor seating that appeals to both locals and tourists seeking a casual yet flavorful experience.",food_drink,27
Grill & Chill - Hurghada,"Al Fanar St, Hurghada, Red Sea Governorate, Egypt",33.8414406,27.22692530003272,"casual_dining, outdoor_seating, family_friendly","Grill & Chill is a popular casual dining spot located in the Red Sea Governorate of Egypt, offering a variety of grilled meats, seafood, and Mediterranean-inspired dishes. The venue features an outdoor seating area with views of the harbor, making it a favorite among locals and tourists seeking a relaxed yet flavorful dining experience. Known for its friendly service and affordable prices, it provides both dine-in and takeaway options.",food_drink,27
Nubian sky - Hurghada,"Nubian sky, Hurghada, Red Sea Governorate, Egypt",33.84096999999999,27.226030200032824,"cozy, cafe, outdoor_seating, family_friendly, local","Nubian sky is a charming café located in the coastal city of Hurghada, offering a relaxing atmosphere with a blend of traditional Nubian décor and modern comforts. The café serves a variety of specialty coffee drinks, fresh juices, light snacks, and traditional Egyptian sweets, making it a popular spot for locals and tourists seeking a cozy place to unwind. Its outdoor seating area provides scenic views of the surrounding area, allowing guests to enjoy the gentle sea breeze and vibrant ambience.",food_drink,27
Vanille - البحر الأحمر,"Al Kisr, Red Sea Governorate, Egypt",33.840825499999994,27.22593420003283,"cafe, cozy, family_friendly, outdoor_seating, popular","Vanille is a cozy café located in the Red Sea city, known for its selection of pastries, light meals, and a variety of flavored coffees. The ambiance features comfortable indoor seating with soft lighting and a small outdoor terrace overlooking the bustling streets. Patrons often highlight the friendly service and the availability of vegan and gluten‑free options on the menu.",food_drink,27
The Lodge - Hurghada,"El Dokki Street, Hurghada, Red Sea Governorate, Egypt",33.8408992,27.225682700032863,"family_friendly, outdoor_seating, popular","The Lodge is a popular dining spot in Hurghada, offering a relaxed atmosphere with a menu that features grilled meats, fresh seafood, and Mediterranean-inspired dishes. The venue provides outdoor seating with views of the Red Sea, making it ideal for families and groups looking for a laid‑back meal. Service is friendly, and the restaurant often hosts live music in the evenings.",food_drink,27
The Heaven - Hurghada,"Abdel Wahab Road, Hurghada, Red Sea Governorate, Egypt",33.8408867,27.22550600003288,"cozy, cafe, outdoor_seating, family_friendly, popular","The Heaven is a popular cafe located in Hurghada, offering a relaxed ambiance and a selection of specialty coffees, teas, and light snacks. Visitors often praise its cozy atmosphere and friendly service, making it a favorite spot for both locals and tourists seeking a quiet place to unwind. The venue also provides outdoor seating with views of the surrounding area, enhancing the overall experience.",food_drink,27
Felucca - Hurghada,"NAME_1, Hurghada, Red Sea Governorate, Egypt",33.8409556,27.223682400033084,"restaurant, seafood, authentic, family_friendly, outdoor_seating","Felucca is a charming restaurant located in Hurghada, Egypt, offering a delightful dining experience with a focus on fresh seafood and traditional Egyptian cuisine. The restaurant features a relaxed ambiance and is known for its warm hospitality and authentic flavors.",food_drink,27
Stone - Hurghada,"Al Corniche, Hurghada, Red Sea Governorate, Egypt",33.8406986,27.224212500033023,"family_friendly, outdoor_seating, popular","Stone is a contemporary restaurant located in Hurghada, offering a mix of international and Egyptian cuisine with a focus on grilled specialties, seafood, and Mediterranean dishes. The ambiance features modern decor with a relaxed yet stylish vibe, making it suitable for both families and couples. Patrons appreciate its outdoor seating area and attentive service.",food_drink,27
Olie's - Hurghada,"Al Misasr St, Hurghada, Red Sea Governorate, Egypt",33.8406877,27.22402510003304,"cozy, family_friendly, outdoor_seating","Olie's is a cozy cafe located in the heart of Hurghada, offering a variety of freshly brewed coffees, teas, and light snacks. The venue features a relaxed ambiance with comfortable seating and free Wi‑Fi, making it a popular spot for locals and tourists looking to unwind.",food_drink,27
